Fecha,Correo_Origen,Asunto,Palabras_Clave,Link,Mayúsculas_Excesivas,Archivos_Adjuntos,Longitud_Correo,Hora_Envio,Errores_Ortograficos,Caracteres_Especiales,Clasificación
2025-09-06,christianwalsh@example.org,promoción reunión oferta reunión,"pretty,seek,level",https://www.williams.org/,1,0,242,22:35,5,7,ham
2025-09-05,ingramjacob@example.com,evento ventas trabajo oferta urgente oferta,"he,prove",http://andrews-roberts.com/,1,0,487,19:43,10,11,spam
2025-08-11,julia91@example.net,oferta evento música,"day,maintain,least,once",https://james.com/,0,0,392,00:03,1,13,ham
2025-09-06,tonywilkerson@example.com,oferta ventas urgente reunión música promoción,"improve,think,direction",,1,1,298,10:14,3,2,spam
2025-08-22,reevescarl@example.com,reunión ventas música reunión música descuento,"class,area",,1,1,264,21:29,5,5,spam
2025-08-16,brandonorr@example.net,reunión trabajo evento urgente descuento,"contain,friend,than",,1,1,99,09:34,6,10,ham
2025-08-18,ldiaz@example.org,trabajo oferta promoción urgente descuento ventas,"prove,indeed,join",,0,1,164,20:48,5,7,ham
2025-08-27,jeffrey32@example.net,urgente promoción ventas urgente descuento,"medical,popular,manager,majority",,1,1,432,12:31,1,10,ham
2025-08-31,peterwhite@example.net,música trabajo música,"protect,computer",,0,1,318,07:47,9,8,ham
2025-08-09,cathyarmstrong@example.org,descuento reunión promoción urgente,"cause,fly,boy,their",,0,0,329,05:38,4,6,spam
2025-08-21,debra50@example.net,oferta reunión trabajo promoción,"do,half,face,arrive",,0,1,82,23:25,3,9,spam
2025-08-24,krodriguez@example.com,promoción ventas descuento descuento reunión urgente,"performance,value,baby,then",,1,0,78,13:03,7,7,spam
2025-08-25,underwoodclifford@example.net,reunión música ventas descuento trabajo,"standard,couple",,1,0,367,12:05,10,8,spam
2025-08-13,mgomez@example.net,trabajo oferta urgente,"grow,peace",https://clark.net/,0,0,437,22:43,8,8,ham
2025-08-20,royjoseph@example.org,evento evento evento,"fund,stand,there,add",http://petersen-patterson.com/,0,1,176,15:16,1,4,ham
2025-09-01,murraytimothy@example.net,promoción reunión promoción urgente,"race,back,trial",https://shaw-west.com/,0,1,357,16:09,10,10,ham
2025-09-06,evansdavid@example.org,ventas reunión promoción promoción trabajo trabajo,"fact,for,toward",,0,1,458,12:35,4,7,spam
2025-08-11,hollymorales@example.org,urgente evento trabajo oferta promoción,"thus,various,four,sister",,0,1,476,17:14,2,8,ham
